server_fit,server_ev,supernode-1_fit,supernode-1_ev,supernode-2_fit,supernode-2_ev,supernode-3_fit,supernode-3_ev,supernode-4_fit,supernode-4_ev,supernode-5_fit,supernode-5_ev
1659.7463972568512,1668.9847314357758,1647.4886636734009;1656.6815168857574,1665.9962601661682,1650.5780947208405,1665.9771554470062,1650.5050280094147;1659.6726093292236,1668.9841113090515,1650.5199353694916;1659.6948795318604,1665.9954769611359,1647.508484840393;1656.7117874622345,1665.9972610473633
1687.6836194992065,1696.9357714653015,1678.3862581253052;1684.552014350891,1694.0020768642426,1678.4226405620575;1687.6084070205688,1693.9996819496155,1681.338302373886,1696.9351744651794,1678.470086812973;1687.6315214633942,1694.0012786388397,1678.2995624542236;1684.498737335205,1694.0005424022675
1715.9122786521912,1722.2016382217407,1706.520726442337;1715.7408752441406,1722.11812210083,1706.7434222698212,1722.2010040283203,1706.6929204463959;1715.8623178005219,1722.1962649822235,1706.63889503479;1715.845868587494,1719.1842572689056,1706.5831100940704;1715.8307418823242,1722.190640926361
1740.9008738994598,1750.158404827118,1731.7059185504913,1747.1530454158783,1731.6548964977264;1737.8171467781067,1747.1521031856537,1731.5322060585022;1740.7300362586975,1750.1582624912262,1731.6035358905792;1740.7958824634552,1750.157343864441,1728.5356838703156;1737.7253711223602,1747.1510632038116
1768.7589807510376,1775.0597748756409,1759.6069555282593,1775.0446207523346,1759.5329265594482;1768.7076556682587,1775.0546805858612,1756.5605483055115;1762.734384059906,1775.0500748157501,1759.5172312259674;1768.6914236545563,1775.0234680175781,1756.5472311973572;1765.7274389266968,1775.0592107772827
1793.8962898254395,1800.1823308467865,1784.6677446365356;1793.827697277069,1800.1821613311768,1784.5931558609009;1793.8453681468964,1800.180515050888,1787.4835517406464,1800.1812572479248,1784.4606850147247;1793.6969504356384,1800.1786093711853,1784.5259790420532;1790.7599420547485,1800.1795394420624
1821.730831861496,1828.0514981746674,1809.60151720047;1819.0806713104248,1828.0461919307709,1809.4884736537933;1821.6811406612396,1828.0348856449127,1812.5211582183838,1828.0399374961853,1809.5796382427216;1818.7577493190765,1828.0512189865112,1809.669284105301;1819.1028063297272,1828.049381494522
1846.8190126419067,1856.116218805313,1837.5028698444366;1846.6879577636719,1853.1078526973724,1837.4755251407623;1843.6319870948792,1853.1090025901794,1837.665282011032,1850.1067821979523,1837.6045122146606;1846.7693078517914,1856.1150228977203,1837.5495567321777;1846.7519385814667,1856.115995168686
1875.0376484394073,1881.3287920951843,1865.6459262371063;1874.8830995559692,1881.250984430313,1865.7858946323395,1881.3228294849396,1865.6181640625;1874.805701494217,1881.31898355484,1865.5413348674774;1871.7594380378723,1881.3199174404144,1865.7280418872833;1874.8988101482391,1881.3280854225159
1900.1661126613617,1909.4134492874146,1891.0069239139557,1909.413257598877,1890.7703969478607;1900.023448228836,1906.4072604179382,1890.898808002472;1900.109270811081,1906.406442642212,1890.9455556869507;1900.1144678592682,1906.4082674980164,1890.8186328411102;1897.0293979644775,1909.412274837494
1931.1076390743256,1940.3839302062988,1921.7588794231415,1940.3778040409088,1918.7800114154816;1927.9789929389954,1937.3706612586975,1918.8335151672363;1931.0559527873993,1940.3833599090576,1918.9612538814545;1928.1555669307709,1937.369635105133,1918.8991627693176;1928.135188817978,1937.371470451355
1958.9581825733185,1965.2692577838898,1949.8046200275421,1962.2594890594482,1949.714609861374;1958.888761997223,1965.265389919281,1946.7608218193054;1955.9542694091797,1965.2625069618225,1949.7812237739563;1958.9059481620789,1965.231600522995,1946.7402789592743;1955.931128501892,1965.2689208984375
1987.0071635246277,1996.2823355197906,1974.802244901657;1983.9724023342133,1993.2799279689789,1974.7623975276947;1986.9556739330292,1996.282140493393,1974.706740140915;1983.8846399784088,1993.2789931297302,1974.8598656654358,1993.2037026882172,1974.6406500339508;1983.8330481052399,1993.2778000831604
2014.8286826610565,2021.0916831493378,2005.5876398086548;2014.7633655071259,2021.0905966758728,2005.6250104904175;2011.8067791461945,2021.0887579917908,2005.6973576545715,2018.0864744186401,2005.535392999649;2011.7063636779785,2021.0895109176636,2002.5770065784454;2011.7271733283997,2021.0915093421936
2039.778846025467,2049.0544860363007,2030.5165338516235;2039.7113263607025,2043.046939611435,2030.5655164718628;2039.7250187397003,2046.0432755947113,2030.386971950531;2039.5896940231323,2046.0493049621582,2030.618528842926,2049.053841114044,2030.488777399063;2036.651448726654,2049.049407720566
2067.843871116638,2077.1244642734528,2058.4322419166565;2067.6642293930054,2077.1238219738007,2058.5395228862762;2067.7098121643066,2077.118241548538,2058.626426935196;2067.7906653881073,2074.111679792404,2058.682153940201,2074.1013765335083,2058.568605184555;2067.773508310318,2074.112732410431
2095.7777070999146,2105.07048368454,2083.854826450348;2093.0573835372925,2102.0396547317505,2086.872123003006,2105.064725637436,2086.484771490097;2095.6480827331543,2102.0606911182404,2086.5506222248077;2095.72479224205,2105.069893360138,2083.8251004219055;2093.027667284012,2102.0615072250366
2123.69930267334,2132.959894180298,2114.568469285965,2129.954924106598,2114.5155036449432;2120.6808099746704,2132.959728002548,2114.492392539978;2123.6489803791046,2129.956773042679,2114.413833141327;2123.5940277576447,2129.954157590866,2114.332892894745;2120.5430097579956,2129.95578956604
2151.613658428192,2160.895073413849,2145.3101246356964,2160.890076160431,2145.273764371872;2151.4383976459503,2160.89444065094,2142.279664516449;2148.4926447868347,2160.8915951251984,2142.3773033618927;2151.551275730133,2157.8893694877625,2142.3925235271454;2148.572522878647,2157.8902485370636
